ID,total_depth,approx_age
trnL_SC083a.S184,53,1053
trnL_SC083b.S192,53,1053
trnL_SC083c.S200,53,1053
trnL_SC083d.S208,53,1053
trnL_SC083e.S216,53,1053
trnL_SC084b.S193,119,2247
trnL_SC084c.S201,119,2247
trnL_SC084d.S209,119,2247
trnL_SC084e.S217,119,2247
trnL_SC085a.S186,158,2853
trnL_SC085b.S194,158,2853
trnL_SC085c.S202,158,2853
trnL_SC085d.S210,158,2853
trnL_SC085e.S218,158,2853
trnL_SC086a.S187,198,3623
trnL_SC086b.S195,198,3623
trnL_SC086c.S203,198,3623
trnL_SC086d.S211,198,3623
trnL_SC086e.S219,198,3623
trnL_SC087a.S188,228,4286
trnL_SC087b.S196,228,4286
trnL_SC087c.S204,228,4286
trnL_SC087d.S212,228,4286
trnL_SC087e.S220,228,4286
trnL_SC088a.S189,277,5835
trnL_SC088b.S197,277,5835
trnL_SC088c.S205,277,5835
trnL_SC088d.S213,277,5835
trnL_SC088e.S221,277,5835
trnL_SC089a.S190,299,6595
trnL_SC089b.S198,299,6595
trnL_SC089c.S206,299,6595
trnL_SC089d.S214,299,6595
trnL_SC089e.S222,299,6595
trnL_SC090a.S191,319,7376
trnL_SC090b.S199,319,7376
trnL_SC090c.S207,319,7376
trnL_SC090d.S215,319,7376
trnL_SC090e.S223,319,7376
trnL_SC091a.S81,343,8505
trnL_SC091b.S85,343,8505
trnL_SC091c.S89,343,8505
trnL_SC091d.S93,343,8505
trnL_SC091e.S97,343,8505
trnL_SC092a.S82,354,9045
trnL_SC092b.S86,354,9045
trnL_SC092c.S90,354,9045
trnL_SC092d.S94,354,9045
trnL_SC092e.S98,354,9045
trnL_SC093a.S83,364,9527
trnL_SC093b.S87,364,9527
trnL_SC093c.S91,364,9527
trnL_SC093d.S95,364,9527
trnL_SC093e.S99,364,9527
trnL_SC016.1.S24,374,9998
trnL_SC016.2.S25,374,9998
trnL_SC016.3.S26,374,9998
trnL_SC016.4.S27,374,9998
trnL_SC016.5.S28,374,9998
trnL_SC017.1.S100,335,8112
trnL_SC017.2.S106,335,8112
trnL_SC017.3.S112,335,8112
trnL_SC017.4.S118,335,8112
trnL_SC017.5.S124,335,8112
trnL_SC015.1.S19,396,11059
trnL_SC015.2.S20,396,11059
trnL_SC015.3.S21,396,11059
trnL_SC015.4.S22,396,11059
trnL_SC015.5.S23,396,11059
trnL_SC018.1.S101,253,5030
trnL_SC018.2.S107,253,5030
trnL_SC018.3.S113,253,5030
trnL_SC018.4.S119,253,5030
trnL_SC018.5.S125,253,5030
trnL_SC019.1.S131,75,1495
trnL_SC019.2.S135,75,1495
trnL_SC019.3.S139,75,1495
trnL_SC019.4.S143,75,1495
trnL_SC019.5.S147,75,1495